C:\ TYPE:NTFS  FREE:3120.02 MB TOTAL:6157.02 MB,\\IPSMIZ0018ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3190.65 MB TOTAL:10001.40 MB,\\WINDOWS2003,Win2K3-
C:\ TYPE:NTFS  FREE:3210.38 MB TOTAL:10001.40 MB,\\IPUDFZ1783ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3303.56 MB TOTAL:10009.21 MB,\\IPDDFZ0055ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3358.07 MB TOTAL:10001.40 MB,\\IPDDFZ1931ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3430.21 MB TOTAL:7679.48 MB,\\IPSWAZ2001ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:347.16 MB TOTAL:10001.40 MB,\\IPDMCZ0132ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3510.91 MB TOTAL:10001.40 MB,\\IPDDFZ1909ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3516.71 MB TOTAL:10010.02 MB,\\IUDFZ1780ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3537.50 MB TOTAL:10001.40 MB,\\IPDMBZ0304ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3539.32 MB TOTAL:10001.40 MB,\\IPDMBZ0136ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3540.48 MB TOTAL:10010.02 MB,\\EFFORTS,Win2K3-
C:\ TYPE:NTFS  FREE:3573.22 MB TOTAL:10001.40 MB,\\IPDMCZ0032ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3611.99 MB TOTAL:10010.02 MB,\\IPUDFZ0627ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3929.26 MB TOTAL:10001.40 MB,\\IPDMCZ0005ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3979.46 MB TOTAL:10001.40 MB,\\IPDDFZ1818ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:399.71 MB TOTAL:7679.48 MB,\\IPSWBZ0020ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4006.26 MB TOTAL:10001.40 MB,\\NS,Win2K3-
C:\ TYPE:NTFS  FREE:4028.70 MB TOTAL:10001.40 MB,\\IPDAEB0035ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4035.11 MB TOTAL:10001.40 MB,\\IPDMCZ0091ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4075.20 MB TOTAL:10001.40 MB,\\IPDMBZ0168ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4102.79 MB TOTAL:10001.40 MB,\\IPDMBZ0346ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4130.88 MB TOTAL:10001.40 MB,\\IPDMBZ0031ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4213.36 MB TOTAL:10001.40 MB,\\IPDMCZ0146ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4218.07 MB TOTAL:10001.40 MB,\\IPDDFZ2003ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4289.77 MB TOTAL:10001.40 MB,\\IPDMCZ0209ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4318.14 MB TOTAL:10001.40 MB,\\IPDDFZ1939ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4323.50 MB TOTAL:10001.40 MB,\\IPDMCZ0063ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4328.93 MB TOTAL:10001.40 MB,\\IPDMCZ0048ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4409.82 MB TOTAL:10001.40 MB,\\IPDMBZ0337ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4443.10 MB TOTAL:10001.25 MB,\\IPUDFZ0011ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4467.35 MB TOTAL:10001.40 MB,\\IPDAFZ0786ATL2,Win2K3-
